X,Y,Z
-0.7145209259340085,0.22535007274912153,-0.6623271028082518
-0.7118125978719879,0.23195031690149626,-0.6629644605859557
-0.7090263492042517,0.23851549334156483,-0.6636203700687018
-0.7061626054804174,0.24504460950453294,-0.6642947493198175
-0.7032218040629296,0.25153667827742576,-0.6649875139967948
-0.7002043940583427,0.25799071814832775,-0.6656985773536693
-0.6971108362467732,0.2644057533547715,-0.6664278502435356
-0.6939416030095293,0.27078081403126186,-0.6671752411212005
-0.6906971782549334,0.2771149363559045,-0.6679406560459811
-0.6873780573423476,0.28340716269612426,-0.6687239986846539
-0.6839847470044174,0.2896565417534444,-0.6695251703145583
-0.6805177652675465,0.29586212870731105,-0.6703440698268637
-0.676977641370614,0.3020229853579372,-0.671180593730003
-0.6733649156819526,0.3081381802681446,-0.6720346361532813
-0.669680139614596,0.31420678890418574,-0.6729060888506625
-0.6659238755398165,0.32022789377551925,-0.6737948412047435
-0.6620966966989615,0.32620058457352324,-0.674700780230922
-0.6581991871136095,0.3321239583091205,-0.6756237905817597
-0.6542319414940556,0.3379971194492983,-0.6765637545515539
-0.6501955651461472,0.3438191800525015,-0.6775205520811216
-0.6460906738764826,0.3495892599028758,-0.6784940607627986
-0.6419178938959884,0.3553064866433458,-0.6794841558456682
-0.6376778617218968,0.3609699959075022,-0.6804907102410197
-0.6333712240781315,0.3665789314502826,-0.6815135945280463
-0.6289986377941283,0.3721324452774246,-0.68255267695979
-0.6245607697021,0.37762969777366995,-0.6836078234693391
-0.620058296532768,0.3830698578297039,-0.6846788976762849
-0.6154919048095766,0.3884521029678062,-0.6857657608934467
-0.6108622907414076,0.39377561946620027,-0.6868682721338716
-0.6061701601138143,0.3990396024820751,-0.6879862881181138
-0.6014162281787936,0.4042432561732671,-0.6891196632818045
-0.5966012195431135,0.40938579381858137,-0.6902682497835169
-0.5917258680552175,0.41446643793673144,-0.6914318975129342
-0.5867909166907216,0.4194844204038858,-0.6926104540993289
-0.581797117436528,0.4244389825697955,-0.6938037649203582
-0.5767452311735695,0.4293293753724941,-0.6950116731111861
-0.5716360275582105,0.4341548594515434,-0.6962340195739356
-0.5664702849023198,0.43891470525981574,-0.6974706429874835
-0.5612487900520374,0.4436081931737919,-0.6987213798175977
-0.5559723382652577,0.44823461360235695,-0.6999860643274317
-0.5506417330878453,0.45279326709408235,-0.7012645285883787
-0.5452577862286092,0.45728346444297197,-0.7025566024912935
-0.5398213174330531,0.4617045267926617,-0.7038621137580906
-0.5343331543559245,0.4660557857390526,-0.7051808879537236
-0.5287941324325844,0.4703365834313643,-0.7065127484985543
-0.523205094749217,0.47454627267159427,-0.7078575166811183
-0.5175668919119049,0.47868421701236324,-0.7092150116712923
-0.511880381914588,0.48274979085313957,-0.7105850505338722
-0.5061464300059317,0.48674237953481964,-0.7119674482425669
-0.5003659085551231,0.49066137943265714,-0.713362017694416
-0.4945396969166212,0.494506198047522,-0.7147685697246356
-0.4886686812938811,0.49827625409547854,-0.716186913121901
-0.48275375460207537,0.5019709775956682,-0.71761685464407
-0.47679581632983825,0.5055898099564815,-0.7190581990343564
-0.47079577240004994,0.5091322040600108,-0.7205107490379556
-0.4647545350296914,0.5125976243447661,-0.7219743054191314
-0.45867302258878573,0.515985546886645,-0.7234486669787685
-0.4525521594584553,0.5192954594781432,-0.7249336305723946
-0.4463928758881147,0.5225268617057921,-0.7264289911286815
-0.44019610785182356,0.5256792650258161,-0.7279345416684275
-0.4339627969038252,0.5287521928379921,-0.7294500733240241
-0.42769389003329106,0.5317451805577066,-0.7309753753594189
-0.42139033951829946,0.5346577756861924,-0.7325102351905709
-0.41505310277906715,0.5374895378789428,-0.7340544384064098
-0.4086831422304637,0.5402400390122831,-0.7356077687902985
-0.402281425133828,0.5429088632480991,-0.7371700083420061
-0.3958489234481123,0.5454956070967049,-0.7387409373001931
-0.3893866136803819,0.5479998794778452,-0.7403203341654152
-0.3828954767356872,0.5504213017798223,-0.7419079757236451
-0.3763764977663411,0.5527595079167349,-0.743503637070319
-0.36983066602061804,0.5550141443838278,-0.7451070916349096
-0.363258974690907,0.5571848703109349,-0.7467181112060278
-0.356662420761336,0.5592713575140152,-0.7483364659570548
-0.35004200485489606,0.5612732905447698,-0.7499619244723105
-0.34339873108009156,0.5631903667383323,-0.7515942537737537
-0.3367336068771346,0.5650222962590292,-0.7532332193482236
-0.33004764286371635,0.5667688021441973,-0.7548785851752163
-0.3233418526803734,0.5684296203460583,-0.7565301137552026
-0.316617252835476,0.570004499771638,-0.7581875661384859
-0.3098748625498662,0.5714932023207289,-0.759850701954601
-0.3031157036011631,0.5728955029218872,-0.761519279442254
-0.29634080016776865,0.5742111895664607,-0.7631930554798023
-0.28955117867259,0.5754400633406418,-0.7648717856162771
-0.28274786762651083,0.5765819384555403,-0.7665552241029426
-0.2759318974716308,0.5776366422752719,-0.7682431239253984
-0.2691043004242987,0.578604015343059,-0.7699352368362146
-0.26226611031796776,0.5794839114053381,-0.7716313133881063
-0.25541836244589056,0.580276197433871,-0.7733311029676401
-0.24856209340368654,0.5809807536458574,-0.7750343538294728
-0.24169834093179726,0.5815974735220439,-0.7767408131311191
-0.2348281437578629,0.5821262638228288,-0.7784502269682442
-0.22795254143903745,0.5825670446023583,-0.7801623404104802
-0.2210725742042695,0.5829197492206131,-0.7818768975377616
-0.214189282796575,0.5831843243534838,-0.7835936414771749
-0.20730370831532077,0.5833607300008326,-0.7853123144403201
-0.2004168920585495,0.5834489394925406,-0.7870326577611767
-0.19352987536536334,0.5834489394925407,-0.788754411934473
-0.18664369945839715,0.5833607300008326,-0.790477316654551
-0.1797594052863989,0.5831843243534838,-0.792201110854719
-0.17287803336694427,0.5829197492206131,-0.7939255327470929
-0.16600062362931092,0.5825670446023583,-0.7956503198629118
-0.15912821525753013,0.5821262638228288,-0.7973752090933274
-0.1522618465336471,0.5815974735220439,-0.7990999367306567
-0.14540255468120536,0.5809807536458574,-0.8008242385100931
-0.13855137570898612,0.580276197433871,-0.8025478496518662
-0.13170934425502,0.5794839114053382,-0.8042705049038431
-0.12487749343089635,0.578604015343059,-0.8059919385845652
-0.11805685466639594,0.5776366422752719,-0.8077118846267072
-0.11124845755446357,0.5765819384555403,-0.8094300766209545
-0.10445332969655136,0.5754400633406419,-0.8111462478602868
-0.09767249654834681,0.5742111895664608,-0.812860131384658
-0.09090698126591694,0.5728955029218872,-0.8145714600260656
-0.08415780455228368,0.5714932023207289,-0.8162799664539968
-0.07742598450445587,0.570004499771638,-0.8179853832212409
-0.07071253646094272,0.5684296203460584,-0.8196874428100602
-0.06401847284976392,0.5667688021441974,-0.8213858776787044
-0.05734480303698683,0.5650222962590292,-0.8230804203082606
-0.05069253317580366,0.5631903667383324,-0.8247708032498257
-0.04406266605617909,0.5612732905447698,-0.8264567591719897
-0.03745620095508265,0.5592713575140154,-0.8281380209086181
-0.030874133487330507,0.557184870310935,-0.8298143215069218
-0.024317455457059572,0.5550141443838279,-0.8314853942757993
-0.01778715470984954,0.552759507916735,-0.8331509728344418
-0.011284214985520874,0.5504213017798223,-0.8348107911611866
-0.004809615771623449,0.5479998794778455,-0.8364645836426048
0.0016356678423610216,0.545495607096705,-0.8381120851228114
0.008050665310080307,0.5429088632480992,-0.8397530309529831
0.014434410772621448,0.5402400390122832,-0.8413871570410698
0.020785943202042467,0.5374895378789429,-0.8430141999016872
0.02710430654411286,0.5346577756861927,-0.844633896706174
0.03338854986023601,0.5317451805577066,-0.8462459853328007
0.03963772746853991,0.5287521928379924,-0.8478502044171153
0.045850899084113605,0.5256792650258161,-0.8494462934024118
0.05202712995836839,0.5225268617057923,-0.8510339925903023
0.05816549101751009,0.5192954594781433,-0.8526130431913859
0.06426505900009602,0.5159855468866452,-0.854183187375989
0.07032491659366547,0.5125976243447662,-0.8557441683249709
0.07634415257041771,0.5091322040600108,-0.8572957302805726
0.0823218619219245,0.5055898099564817,-0.858837618597297
0.08825714599285697,0.5019709775956683,-0.860369579792803
0.09414911261370609,0.4982762540954788,-0.8618913615987976
0.09999687623248416,0.49450619804752205,-0.863402713011912
0.1057995580453831,0.4906613794326573,-0.8649033843445425
0.11155628612637858,0.4867423795348198,-0.8663931272756444
0.11726619555575529,0.48274979085313974,-0.8678716949014579
0.12292842854754288,0.47868421701236347,-0.8693388417861543
0.1285421345758415,0.4745462726715943,-0.870794324012383
0.13410647050001928,0.4703365834313646,-0.8722378992317052
0.13962060068876928,0.46605578573905265,-0.8736693267148969
0.14508369714300384,0.46170452679266194,-0.8750883674021048
0.15049493961757554,0.45728346444297224,-0.8764947839528398
0.15585351574180276,0.4527932670940825,-0.8778883407957907
0.16115862113878862,0.4482346136023572,-0.8792688041784433
0.16640945954351635,0.44360819317379196,-0.8806359422164862
0.17160524291970147,0.438914705259816,-0.8819895249429888
